X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
146.703,-3875.475,246.393,0.004,0.003,0,0.003,32.6635,0.855305,-0.515178,0.038037,-0.039975,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:22.533,FALSE,
151.602,-3876.051,247.349,0.007,0.005,0,0.005,32.6964,0.855314,-0.515165,0.038046,-0.039941,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:28.353,FALSE,
156.527,-3876.581,248.27,0.004,0.003,0,0.002,32.7317,0.85533,-0.515137,0.038017,-0.039992,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:33.973,FALSE,
161.504,-3877.066,249.138,0.003,0.003,0,0.002,32.7655,0.855334,-0.515125,0.038049,-0.040032,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:39.733,FALSE,
166.423,-3877.494,249.959,0.005,0.003,0,0.005,32.7932,0.855328,-0.515138,0.038054,-0.039986,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:45.613,FALSE,
171.351,-3877.867,250.703,0.006,0.005,0,0.003,32.8176,0.85532,-0.51516,0.037985,-0.039945,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:51.493,FALSE,
176.312,-3878.193,251.426,0.007,0.004,0,0.006,32.8465,0.855318,-0.515162,0.03798,-0.039945,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:57.613,FALSE,
181.327,-3878.496,252.11,0.005,0.003,0,0.004,32.8776,0.855317,-0.515158,0.037996,-0.040006,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:03.953,FALSE,
186.324,-3878.756,252.746,0.006,0.003,0.001,0.005,32.9092,0.855326,-0.515141,0.038037,-0.040008,0.33,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:09.133,FALSE,
191.331,-3878.975,253.351,0.006,0.004,0,0.005,32.9408,0.855339,-0.515119,0.038148,-0.039909,0.26,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:15.013,FALSE,
196.337,-3879.154,253.91,0.003,0.002,0,0.002,32.9713,0.855345,-0.515106,0.038224,-0.039873,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:21.013,FALSE,
201.348,-3879.277,254.416,0.007,0.007,0,0.003,32.9965,0.855331,-0.515127,0.038205,-0.039926,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:26.933,FALSE,
206.332,-3879.365,254.891,0.003,0.002,0,0.002,33.0215,0.855328,-0.515134,0.038104,-0.039986,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:32.893,FALSE,
211.353,-3879.386,255.307,0.006,0.004,0.001,0.005,33.0447,0.855322,-0.51515,0.038122,-0.039901,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:38.893,FALSE,
216.403,-3879.374,255.705,0.005,0.004,0,0.003,33.0815,0.855365,-0.515075,0.038075,-0.039997,0.18,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:45.013,FALSE,
221.43,-3879.313,256.018,0.003,0.003,0,0.002,33.109,0.855363,-0.515072,0.038267,-0.039872,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:28:51.013,FALSE,
