X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
414.808,-3314.92,-89.778,0.006,0.003,0.001,0.005,40.7831,-0.035078,0.433584,0.594541,0.676237,0.35,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:24.212,FALSE,
-74.143,-3363.993,-315.807,0.006,0.005,0.001,0.003,33.5659,0.384883,-0.671448,-0.533597,-0.341025,0.25,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:32.912,FALSE,
-74.973,-3295.001,-183.503,0.005,0.003,0,0.003,30.6312,0.433996,-0.643772,-0.555503,-0.297693,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:40.073,FALSE,
-263.378,-3339.154,-217.677,0.005,0.004,0,0.003,9.4444,0.552338,-0.650133,-0.354929,-0.382459,0.13,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:48.072,FALSE,
-253.922,-3275.487,-142.088,0.005,0.003,0,0.003,28.9172,0.568707,-0.758482,-0.308142,-0.079538,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:55.652,FALSE,
-354.701,-3322.185,-142.215,0.004,0.003,0.001,0.003,38.0028,0.540757,-0.70927,-0.442878,-0.091522,0.33,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:02.553,FALSE,
-576.112,-3392.111,-57.641,0.006,0.005,0.002,0.002,44.405,0.594277,-0.519588,-0.58976,-0.17043,0.22,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:10.252,FALSE,
-249.698,-3293.315,-228.435,0.003,0.002,0,0.002,25.6473,0.585202,-0.630741,-0.45919,-0.221018,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:18.412,FALSE,
11.068,-3342.92,-282.475,0.002,0.002,0,0.001,32.0195,0.486003,-0.809151,-0.268342,-0.192532,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:26.272,FALSE,
-54.713,-3404.855,-357.85,0.003,0.002,0.001,0.003,42.5747,0.346696,-0.663202,-0.597408,-0.288216,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:33.012,FALSE,
-278.315,-3323.467,-190.046,0.005,0.001,0,0.005,30.2008,0.351186,-0.240144,-0.763525,-0.485828,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:40.592,FALSE,
-49.611,-3226.44,-110.3,0.004,0.004,0,0.002,25.3928,-0.20636,0.296586,0.780959,0.509466,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:06:48.132,FALSE,
