X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
140.358,-3429.696,64.102,0.005,0.004,0,0.003,10.7351,0.065062,-0.062244,0.643016,0.760541,0.21,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:05.872,FALSE,
131.603,-3432.241,64.087,0.009,0.009,0,0.004,10.7057,0.065043,-0.062172,0.643071,0.760502,0.23,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:11.092,FALSE,
122.758,-3434.429,64.103,0.004,0.003,0,0.003,10.686,0.06499,-0.062091,0.643073,0.760511,0.22,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:16.792,FALSE,
113.878,-3436.252,64.086,0.006,0.003,0,0.005,10.6654,0.064966,-0.06203,0.64309,0.760504,0.24,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:22.532,FALSE,
104.954,-3437.723,64.09,0.004,0.003,0,0.003,10.6502,0.065032,-0.06213,0.643066,0.760511,0.24,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:28.252,FALSE,
95.987,-3438.828,64.103,0.002,0.002,0,0.001,10.6383,0.064963,-0.062136,0.643043,0.760536,0.26,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:33.972,FALSE,
87.057,-3439.555,64.101,0.003,0.002,0,0.002,10.6253,0.064894,-0.062087,0.64305,0.76054,0.2,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:39.712,FALSE,
78.095,-3439.924,64.083,0.006,0.006,0,0.003,10.6097,0.06491,-0.062137,0.643078,0.760511,0.19,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:45.432,FALSE,
69.118,-3439.938,64.068,0.007,0.005,0,0.005,10.5988,0.065,-0.062229,0.643085,0.76049,0.22,TMC 30-B #5320,21.4,1015,53,'17.11.2022 08:46:51.172,FALSE,
60.092,-3439.57,64.054,0.005,0.003,0,0.004,10.5871,0.065059,-0.062326,0.643112,0.760454,0.29,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:46:56.932,FALSE,
51.13,-3438.84,64.032,0.005,0.003,0,0.004,10.5801,0.064972,-0.062185,0.643146,0.760444,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:02.672,FALSE,
42.151,-3437.754,64.042,0.005,0.004,0,0.003,10.5789,0.064978,-0.062202,0.643143,0.760444,0.17,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:08.392,FALSE,
33.155,-3436.303,64.023,0.005,0.005,0,0.003,10.5796,0.065048,-0.062223,0.643139,0.76044,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:14.272,FALSE,
24.153,-3434.479,64.027,0.003,0.002,0,0.002,10.5868,0.065014,-0.062231,0.643109,0.760467,0.17,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:19.852,FALSE,
15.218,-3432.293,64.027,0.005,0.004,0,0.003,10.5944,0.064915,-0.062147,0.643101,0.76049,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:25.572,FALSE,
6.231,-3429.735,63.977,0.005,0.003,0,0.004,10.5959,0.064877,-0.062195,0.643132,0.760463,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:31.312,FALSE,
-2.751,-3426.833,63.949,0.004,0.004,0,0.003,10.6015,0.064959,-0.06234,0.643144,0.760434,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:37.012,FALSE,
-11.653,-3423.549,63.913,0.004,0.003,0,0.003,10.6083,0.065021,-0.062377,0.64317,0.760404,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:42.852,FALSE,
-20.538,-3419.927,63.883,0.006,0.005,0,0.003,10.616,0.065018,-0.062378,0.643208,0.760372,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:48.532,FALSE,
-29.395,-3415.94,63.823,0.004,0.003,0,0.003,10.6282,0.064993,-0.062371,0.643229,0.760356,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:47:54.332,FALSE,
-38.2,-3411.606,63.813,0.006,0.004,0,0.004,10.6468,0.064954,-0.062317,0.64323,0.760364,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:00.152,FALSE,
-46.952,-3406.926,63.817,0.004,0.003,0,0.002,10.6685,0.065041,-0.06233,0.643215,0.760368,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:06.112,FALSE,
-55.641,-3401.883,63.846,0.005,0.003,0,0.004,10.6985,0.065018,-0.062283,0.643169,0.760412,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:11.872,FALSE,
-64.352,-3396.501,63.829,0.003,0.002,0,0.002,10.7304,0.064943,-0.062325,0.643124,0.760454,0.22,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:17.752,FALSE,
-73.016,-3390.775,63.744,0.002,0.002,0,0.001,10.749,0.06487,-0.062317,0.643174,0.760418,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:23.612,FALSE,
-81.598,-3384.692,63.675,0.003,0.003,0,0.002,10.7735,0.064866,-0.062334,0.643195,0.760399,0.31,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:29.532,FALSE,
-90.073,-3378.28,63.648,0.005,0.004,0,0.003,10.7992,0.06495,-0.062362,0.643216,0.760372,0.17,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:35.992,FALSE,
-98.529,-3371.53,63.647,0.007,0.006,0,0.005,10.8346,0.065002,-0.062437,0.643193,0.760381,0.2,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:41.432,FALSE,
-106.968,-3364.458,63.58,0.005,0.005,0,0.001,10.8652,0.065039,-0.062541,0.643212,0.760353,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:47.392,FALSE,
-115.283,-3357.039,63.543,0.005,0.004,0,0.002,10.8985,0.065042,-0.062517,0.643227,0.760342,0.22,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:48:53.452,FALSE,
-123.497,-3349.257,63.441,0.004,0.004,0,0.002,10.927,0.06499,-0.062436,0.643282,0.760307,0.2,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:00.052,FALSE,
-131.611,-3341.178,63.471,0.006,0.003,0,0.004,10.9719,0.064971,-0.062369,0.643249,0.760342,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:05.592,FALSE,
-126.657,-3340.924,75.711,0.006,0.005,0,0.003,11.1544,0.064957,-0.062377,0.643242,0.760348,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:11.512,FALSE,
-118.726,-3349.022,75.738,0.003,0.003,0,0.002,11.1138,0.065019,-0.062485,0.643263,0.760317,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:17.272,FALSE,
-110.689,-3356.783,75.779,0.002,0.002,0,0.001,11.0786,0.065063,-0.062561,0.643259,0.760309,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:23.232,FALSE,
-102.576,-3364.203,75.815,0.005,0.004,0,0.002,11.048,0.065119,-0.062607,0.643233,0.760323,0.17,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:29.172,FALSE,
-94.333,-3371.297,75.865,0.004,0.003,0,0.002,11.0196,0.065087,-0.062527,0.64321,0.760352,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:35.212,FALSE,
-86.083,-3378.055,75.884,0.004,0.003,0,0.002,10.9886,0.064991,-0.062427,0.64322,0.76036,0.3,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:41.112,FALSE,
-77.796,-3384.482,75.93,0.004,0.002,0,0.003,10.9644,0.065002,-0.062462,0.643194,0.760378,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:47.252,FALSE,
-69.406,-3390.577,75.98,0.003,0.002,0,0.003,10.9443,0.065079,-0.062506,0.643146,0.760409,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:52.972,FALSE,
-60.929,-3396.303,76.079,0.004,0.002,0,0.003,10.9246,0.06515,-0.062468,0.643114,0.760433,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:49:58.912,FALSE,
-52.407,-3401.687,76.111,0.003,0.002,0,0.002,10.9011,0.065095,-0.062329,0.643125,0.760439,0.17,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:04.772,FALSE,
-43.912,-3406.736,76.086,0.005,0.004,0,0.003,10.8721,0.065102,-0.062349,0.643175,0.760395,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:10.632,FALSE,
-35.38,-3411.436,76.094,0.005,0.004,0,0.002,10.8513,0.065064,-0.062382,0.643189,0.760384,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:16.552,FALSE,
-26.799,-3415.788,76.108,0.004,0.003,0,0.003,10.837,0.065036,-0.062416,0.643171,0.760398,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:22.692,FALSE,
-18.129,-3419.77,76.141,0.004,0.003,0,0.003,10.8214,0.06508,-0.062421,0.643175,0.760391,0.2,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:28.052,FALSE,
-9.458,-3423.423,76.217,0.004,0.003,0,0.003,10.8187,0.065081,-0.062423,0.643114,0.760442,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:33.812,FALSE,
-0.785,-3426.7,76.248,0.004,0.003,0,0.003,10.8131,0.065017,-0.062407,0.643084,0.760474,0.22,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:39.572,FALSE,
7.983,-3429.621,76.271,0.005,0.004,0,0.002,10.8073,0.064986,-0.062296,0.643072,0.760496,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:45.252,FALSE,
16.752,-3432.177,76.3,0.006,0.005,0,0.002,10.8028,0.065079,-0.062307,0.643057,0.7605,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:51.292,FALSE,
25.511,-3434.37,76.306,0.005,0.003,0,0.003,10.7998,0.065087,-0.062296,0.643047,0.760509,0.27,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:50:56.692,FALSE,
34.297,-3436.188,76.297,0.004,0.003,0,0.002,10.7895,0.065109,-0.062263,0.6431,0.760465,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:02.432,FALSE,
43.073,-3437.649,76.295,0.004,0.004,0,0.002,10.7866,0.065111,-0.062323,0.64311,0.760451,0.16,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:08.152,FALSE,
51.858,-3438.746,76.291,0.005,0.003,0,0.003,10.7863,0.065057,-0.062252,0.643129,0.760446,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:14.052,FALSE,
60.606,-3439.482,76.296,0.003,0.003,0,0.001,10.7922,0.065114,-0.06238,0.643101,0.760454,0.26,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:19.592,FALSE,
69.423,-3439.857,76.318,0.004,0.002,0,0.003,10.8039,0.065048,-0.062295,0.643072,0.760491,0.18,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:25.312,FALSE,
78.202,-3439.861,76.324,0.005,0.003,0,0.004,10.8145,0.064981,-0.062174,0.643068,0.76051,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:31.052,FALSE,
86.92,-3439.509,76.334,0.005,0.004,0,0.003,10.8287,0.065067,-0.062225,0.643036,0.760526,0.27,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:36.772,FALSE,
95.629,-3438.792,76.325,0.005,0.003,0,0.003,10.8396,0.065109,-0.062275,0.643036,0.760518,0.25,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:42.672,FALSE,
104.393,-3437.702,76.307,0.005,0.003,0,0.004,10.8505,0.065098,-0.062191,0.643069,0.760498,0.26,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:48.452,FALSE,
113.102,-3436.243,76.311,0.004,0.003,0,0.003,10.8644,0.065105,-0.06216,0.643091,0.760481,0.22,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:51:53.952,FALSE,
121.746,-3434.415,76.311,0.004,0.002,0,0.003,10.8812,0.065057,-0.062187,0.643092,0.760482,0.2,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:00.252,FALSE,
130.395,-3432.24,76.327,0.006,0.005,0,0.004,10.9034,0.065112,-0.062243,0.643075,0.760488,0.24,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:05.392,FALSE,
138.991,-3429.71,76.351,0.005,0.003,0,0.003,10.9347,0.065059,-0.062199,0.643018,0.760543,0.21,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:11.092,FALSE,
147.572,-3426.816,76.346,0.004,0.003,0,0.003,10.9647,0.065009,-0.062069,0.642999,0.760575,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:16.792,FALSE,
156.052,-3423.546,76.317,0.006,0.005,0,0.004,10.9879,0.064998,-0.062088,0.64301,0.760565,0.22,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:22.552,FALSE,
164.522,-3419.924,76.311,0.003,0.002,0,0.002,11.0184,0.065128,-0.062175,0.642986,0.760567,0.19,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:28.192,FALSE,
172.937,-3415.945,76.292,0.009,0.007,0,0.006,11.0494,0.065102,-0.062118,0.642985,0.760574,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:34.192,FALSE,
181.308,-3411.607,76.241,0.008,0.007,0,0.004,11.0789,0.065098,-0.062056,0.64301,0.760559,0.23,TMC 30-B #5320,21.5,1015,53,'17.11.2022 08:52:39.792,FALSE,
