X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
508.225,-3831.172,229.812,0.02,0.011,0.002,0.017,34.3039,0.855607,-0.514619,0.038812,-0.039975,0.5,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:28.613,FALSE,
505.365,-3828.71,227.157,0.007,0.006,0.001,0.004,34.2531,0.85559,-0.514644,0.038789,-0.040032,0.19,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:34.153,FALSE,
502.503,-3826.253,224.445,0.006,0.003,0.001,0.005,34.2015,0.855564,-0.51468,0.038752,-0.040162,0.21,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:40.133,FALSE,
499.641,-3823.796,221.795,0.004,0.003,0.001,0.002,34.1552,0.855562,-0.514677,0.038745,-0.040247,0.18,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:45.973,FALSE,
496.792,-3821.352,219.132,0.003,0.002,0.001,0.002,34.1081,0.855558,-0.514678,0.038745,-0.040316,0.16,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:51.173,FALSE,
493.926,-3818.897,216.428,0.003,0.001,0.001,0.002,34.0573,0.855549,-0.514693,0.03879,-0.040275,0.16,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:28:56.893,FALSE,
491.052,-3816.442,213.72,0.002,0.001,0.001,0.001,34.0114,0.855575,-0.514654,0.038848,-0.040159,0.28,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:02.553,FALSE,
488.156,-3813.979,211.046,0.002,0.002,0.001,0.001,33.9654,0.855605,-0.514612,0.038917,-0.040001,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:08.213,FALSE,
485.279,-3811.518,208.346,0.002,0.002,0.001,0.001,33.9178,0.85561,-0.514602,0.03895,-0.039989,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:13.914,FALSE,
482.404,-3809.059,205.661,0.001,0.001,0,0.001,33.8633,0.855601,-0.514622,0.038879,-0.039987,0.34,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:19.573,FALSE,
479.529,-3806.604,202.986,0.002,0.001,0.001,0.002,33.8136,0.8556,-0.514622,0.038812,-0.040066,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:25.314,FALSE,
476.64,-3804.144,200.285,0.002,0.001,0.001,0.001,33.7601,0.855594,-0.514638,0.038799,-0.040021,0.36,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:30.973,FALSE,
473.752,-3801.686,197.604,0.001,0.001,0,0.001,33.7064,0.855591,-0.51465,0.038776,-0.039954,0.22,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:36.673,FALSE,
470.867,-3799.229,194.893,0.002,0.001,0,0.002,33.651,0.855572,-0.514684,0.038745,-0.039957,0.31,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:42.314,FALSE,
467.997,-3796.777,192.208,0.002,0.001,0,0.001,33.5994,0.855559,-0.514704,0.038751,-0.039972,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:48.053,FALSE,
465.135,-3794.327,189.512,0.002,0.002,0,0.001,33.5526,0.85557,-0.514684,0.038795,-0.039946,0.33,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:53.693,FALSE,
462.277,-3791.884,186.846,0.003,0.003,0.001,0.001,33.5033,0.855558,-0.514698,0.038803,-0.040013,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:29:59.453,FALSE,
459.436,-3789.438,184.179,0.004,0.003,0,0.002,33.4554,0.855543,-0.514712,0.038778,-0.04018,0.13,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:05.333,FALSE,
456.578,-3786.988,181.485,0.003,0.003,0,0.002,33.4063,0.855534,-0.51472,0.038775,-0.040266,0.25,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:10.813,FALSE,
453.705,-3784.53,178.783,0.008,0.007,0.001,0.002,33.3536,0.855526,-0.514736,0.038837,-0.040169,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:16.433,FALSE,
450.835,-3782.07,176.07,0.006,0.006,0.001,0.003,33.2992,0.855513,-0.51476,0.038867,-0.0401,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:22.114,FALSE,
447.956,-3779.604,173.358,0.004,0.001,0,0.004,33.2412,0.855483,-0.514814,0.038867,-0.040069,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:27.793,FALSE,
445.07,-3777.145,170.69,0.003,0.002,0,0.002,33.191,0.85549,-0.514804,0.03881,-0.040099,0.26,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:33.473,FALSE,
442.176,-3774.684,168.003,0.005,0.004,0.001,0.003,33.14,0.855501,-0.514791,0.038799,-0.040035,0.24,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:39.173,FALSE,
439.306,-3772.235,165.343,0.004,0.003,0,0.003,33.0942,0.855531,-0.514746,0.038834,-0.039945,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:44.853,FALSE,
436.449,-3769.784,162.662,0.004,0.004,0.001,0.002,33.0454,0.855532,-0.514742,0.038856,-0.039958,0.23,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:50.873,FALSE,
433.588,-3767.324,159.957,0.005,0.002,0,0.005,32.9908,0.85551,-0.514776,0.038854,-0.039975,0.17,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:30:56.213,FALSE,
430.715,-3764.869,157.266,0.003,0.001,0,0.002,32.9345,0.855488,-0.514815,0.03884,-0.039967,0.29,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:02.153,FALSE,
427.864,-3762.417,154.558,0.003,0.002,0,0.002,32.8779,0.855441,-0.514883,0.038773,-0.040165,0.27,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:07.573,FALSE,
425.016,-3759.966,151.866,0.001,0.001,0,0.001,32.829,0.855434,-0.514888,0.03879,-0.040235,0.23,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:13.253,FALSE,
422.156,-3757.512,149.161,0.003,0.003,0.001,0.001,32.7773,0.855415,-0.514913,0.03888,-0.040219,0.15,TMC 30-B #5320,23.7,1014,48,'08.11.2022 15:31:18.914,FALSE,
